idna_subject,checker_type,destination,tested_at
157.15.0.0,AVAILABILITY,domains.list,2021-12-26 10:00:02.804787
157.20.0.0,AVAILABILITY,domains.list,2021-12-26 10:00:13.050754
157.66.0.0,AVAILABILITY,domains.list,2021-12-26 10:00:23.218170
157.115.0.0,AVAILABILITY,domains.list,2021-12-26 10:00:33.389234
157.186.0.0,AVAILABILITY,domains.list,2021-12-26 10:11:31.705908
157.195.0.0,AVAILABILITY,domains.list,2021-12-26 10:11:42.245254
157.162.0.0,AVAILABILITY,domains.list,2021-12-26 10:11:56.350070
158.249.0.0,AVAILABILITY,domains.list,2021-12-26 10:12:06.612507
159.80.0.0,AVAILABILITY,domains.list,2021-12-26 10:12:16.816153
155.71.0.0,AVAILABILITY,domains.list,2021-12-26 10:12:27.546291
159.151.0.0,AVAILABILITY,domains.list,2021-12-26 10:12:38.338634
158.54.0.0,AVAILABILITY,domains.list,2021-12-26 10:13:03.535394
159.174.0.0,AVAILABILITY,domains.list,2021-12-26 10:13:13.737813
159.229.0.0,AVAILABILITY,domains.list,2021-12-26 10:13:23.926435
159.219.0.0,AVAILABILITY,domains.list,2021-12-26 10:13:34.218402
161.0.68.0,AVAILABILITY,domains.list,2021-12-26 10:13:44.406319
161.0.0.0,AVAILABILITY,domains.list,2021-12-26 10:13:54.612789
161.248.0.0,AVAILABILITY,domains.list,2021-12-26 10:14:04.816970
161.1.0.0,AVAILABILITY,domains.list,2021-12-26 10:14:15.362357
162.208.124.0,AVAILABILITY,domains.list,2021-12-26 10:14:25.710035
162.212.188.0,AVAILABILITY,domains.list,2021-12-26 10:14:36.260236
162.222.128.0,AVAILABILITY,domains.list,2021-12-26 10:14:46.460940
162.217.99.137,AVAILABILITY,domains.list,2021-12-26 10:14:56.902255
162.249.20.0,AVAILABILITY,domains.list,2021-12-26 10:15:07.504660
163.47.22.0,AVAILABILITY,domains.list,2021-12-26 10:15:17.962014
163.47.25.0,AVAILABILITY,domains.list,2021-12-26 10:15:28.157698
163.47.26.0,AVAILABILITY,domains.list,2021-12-26 10:15:38.478044
163.47.28.0,AVAILABILITY,domains.list,2021-12-26 10:15:48.738305
163.47.30.0,AVAILABILITY,domains.list,2021-12-26 10:15:58.968885
163.47.46.0,AVAILABILITY,domains.list,2021-12-26 10:16:09.479275
163.47.19.0,AVAILABILITY,domains.list,2021-12-26 10:16:20.634157
163.50.0.0,AVAILABILITY,domains.list,2021-12-26 10:16:30.922417
163.59.0.0,AVAILABILITY,domains.list,2021-12-26 10:16:41.308967
163.61.0.0,AVAILABILITY,domains.list,2021-12-26 10:16:51.510215
163.127.224.0,AVAILABILITY,domains.list,2021-12-26 10:17:01.732185
163.128.224.0,AVAILABILITY,domains.list,2021-12-26 10:17:11.932802
163.216.0.0,AVAILABILITY,domains.list,2021-12-26 10:17:22.328176
163.223.0.0,AVAILABILITY,domains.list,2021-12-26 10:17:32.538737
163.227.0.0,AVAILABILITY,domains.list,2021-12-26 10:17:42.798300
163.227.2.0,AVAILABILITY,domains.list,2021-12-26 10:17:53.138187
163.227.4.0,AVAILABILITY,domains.list,2021-12-26 10:18:03.368242
163.227.8.0,AVAILABILITY,domains.list,2021-12-26 10:18:13.635306
163.227.16.0,AVAILABILITY,domains.list,2021-12-26 10:18:23.831136
163.227.18.0,AVAILABILITY,domains.list,2021-12-26 10:18:34.032354
