idna_subject,checker_type,destination,source,tested_at,session_id
0.0.0.0/8,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:34.949709,274b46a427d4b53e43bd42ff
1.10.16.0/20,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:35.075553,274b46a427d4b53e43bd42ff
1.19.0.0/16,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:35.200652,274b46a427d4b53e43bd42ff
1.32.128.0/18,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:35.325383,274b46a427d4b53e43bd42ff
10.0.0.0/8,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:35.451113,274b46a427d4b53e43bd42ff
100.64.0.0/10,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:35.577064,274b46a427d4b53e43bd42ff
101.101.96.0/22,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:35.705044,274b46a427d4b53e43bd42ff
101.134.0.0/15,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:35.831874,274b46a427d4b53e43bd42ff
101.203.128.0/19,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:35.960048,274b46a427d4b53e43bd42ff
101.248.0.0/15,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:36.086239,274b46a427d4b53e43bd42ff
102.192.0.0/12,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:36.213621,274b46a427d4b53e43bd42ff
102.208.0.0/14,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:36.339692,274b46a427d4b53e43bd42ff
102.212.0.0/15,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:36.466865,274b46a427d4b53e43bd42ff
102.214.0.0/17,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:36.594847,274b46a427d4b53e43bd42ff
102.214.128.0/20,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:36.721628,274b46a427d4b53e43bd42ff
102.214.144.0/22,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:36.848468,274b46a427d4b53e43bd42ff
102.214.184.0/23,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:36.976303,274b46a427d4b53e43bd42ff
102.214.188.0/24,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:37.103161,274b46a427d4b53e43bd42ff
102.216.52.0/22,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:37.230942,274b46a427d4b53e43bd42ff
102.216.56.0/22,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:37.359442,274b46a427d4b53e43bd42ff
102.240.0.0/16,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:37.487104,274b46a427d4b53e43bd42ff
103.1.156.0/22,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:37.613106,274b46a427d4b53e43bd42ff
103.10.192.0/22,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:37.740122,274b46a427d4b53e43bd42ff
103.10.68.0/22,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:37.867235,274b46a427d4b53e43bd42ff
103.100.168.0/22,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:37.994470,274b46a427d4b53e43bd42ff
103.100.176.0/22,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:38.122970,274b46a427d4b53e43bd42ff
103.100.192.0/24,AVAILABILITY,domains.list,domains.list,2022-08-22 06:04:38.249606,274b46a427d4b53e43bd42ff
